"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","78-Pyelo","APECO1","BEN2908","CFT073","IHE3034","IMT5155","LF82","NRG857c","RS218","UIT89","chi7122"
"group_1679","","hypothetical protein","11","11","1","1","4679","","","","623","623","623","MLKLJMNP_01715","CPCHNOAG_02370","MMFKLIDH_02355","BLOBBDCK_02521","HONHGEAM_02434","JFLNLICH_00336","NFALKJBE_02229","OKCJCEOA_02253","KJPMMKDD_02452","ALJJNEKE_02321","NOKOPPJF_02285"
"group_1680","","hypothetical protein","11","11","1","1","4683","","","","257","776","728","MLKLJMNP_01718","CPCHNOAG_02367","MMFKLIDH_02352","BLOBBDCK_02518","HONHGEAM_02431","JFLNLICH_00333","NFALKJBE_02226","OKCJCEOA_02250","KJPMMKDD_02448","ALJJNEKE_02318","NOKOPPJF_02282"
"atoS","","Signal transduction histidine-protein kinase AtoS","11","11","1","1","4690","","","","1727","1826","1817","MLKLJMNP_01724","CPCHNOAG_02360","MMFKLIDH_02346","BLOBBDCK_02512","HONHGEAM_02425","JFLNLICH_00327","NFALKJBE_02220","OKCJCEOA_02244","KJPMMKDD_02442","ALJJNEKE_02312","NOKOPPJF_02276"
"napH","","Ferredoxin-type protein NapH","11","11","1","1","4707","","","","752","863","852","MLKLJMNP_01740","CPCHNOAG_02344","MMFKLIDH_02330","BLOBBDCK_02496","HONHGEAM_02409","JFLNLICH_00310","NFALKJBE_02204","OKCJCEOA_02228","KJPMMKDD_02426","ALJJNEKE_02296","NOKOPPJF_02260"
"rplY","","50S ribosomal protein L25","11","11","1","1","4472","","","","284","284","284","MLKLJMNP_01759","CPCHNOAG_02326","MMFKLIDH_02312","BLOBBDCK_02476","HONHGEAM_02391","JFLNLICH_00292","NFALKJBE_02184","OKCJCEOA_02208","KJPMMKDD_02408","ALJJNEKE_02278","NOKOPPJF_02218"
"yejE","","Inner membrane ABC transporter permease protein YejE","11","11","1","1","4466","","","","935","1025","1016","MLKLJMNP_01765","CPCHNOAG_02320","MMFKLIDH_02306","BLOBBDCK_02470","HONHGEAM_02385","JFLNLICH_00286","NFALKJBE_02178","OKCJCEOA_02202","KJPMMKDD_02402","ALJJNEKE_02272","NOKOPPJF_02212"
"group_1685","","hypothetical protein","11","11","1","1","4464","","","","1679","1814","1801","MLKLJMNP_01767","CPCHNOAG_02318","MMFKLIDH_02304","BLOBBDCK_02468","HONHGEAM_02383","JFLNLICH_00284","NFALKJBE_02176","OKCJCEOA_02200","KJPMMKDD_02400","ALJJNEKE_02270","NOKOPPJF_02210"
"lpxT","","Lipid A 1-diphosphate synthase","11","11","1","1","4460","","","","713","722","713","MLKLJMNP_01770","CPCHNOAG_02315","MMFKLIDH_02301","BLOBBDCK_02465","HONHGEAM_02380","JFLNLICH_00281","NFALKJBE_02173","OKCJCEOA_02197","KJPMMKDD_02397","ALJJNEKE_02267","NOKOPPJF_02206"
"mtlK_1","","Mannitol 2-dehydrogenase","11","11","1","1","4458","","","","1262","1466","1447","MLKLJMNP_01772","CPCHNOAG_02313","MMFKLIDH_02299","BLOBBDCK_02463","HONHGEAM_02378","JFLNLICH_00278","NFALKJBE_02171","OKCJCEOA_02195","KJPMMKDD_02395","ALJJNEKE_02265","NOKOPPJF_02204"
"nfo","","Endonuclease 4","11","11","1","1","4444","","","","824","857","854","MLKLJMNP_01785","CPCHNOAG_02300","MMFKLIDH_02286","BLOBBDCK_02449","HONHGEAM_02365","JFLNLICH_00265","NFALKJBE_02158","OKCJCEOA_02182","KJPMMKDD_02382","ALJJNEKE_02252","NOKOPPJF_02190"
"cysL","","HTH-type transcriptional regulator CysL","11","11","1","1","4442","","","","806","881","853","MLKLJMNP_01787","CPCHNOAG_02298","MMFKLIDH_02284","BLOBBDCK_02447","HONHGEAM_02363","JFLNLICH_00263","NFALKJBE_02156","OKCJCEOA_02180","KJPMMKDD_02380","ALJJNEKE_02250","NOKOPPJF_02188"
"dusC","","tRNA-dihydrouridine(16) synthase","11","11","1","1","4425","","","","950","977","952","MLKLJMNP_01804","CPCHNOAG_02281","MMFKLIDH_02266","BLOBBDCK_02430","HONHGEAM_02346","JFLNLICH_00245","NFALKJBE_02139","OKCJCEOA_02160","KJPMMKDD_02363","ALJJNEKE_02233","NOKOPPJF_02170"
"ttgI","","Toluene efflux pump outer membrane protein TtgI","11","11","1","1","4424","","","","1436","1436","1436","MLKLJMNP_01805","CPCHNOAG_02280","MMFKLIDH_02265","BLOBBDCK_02429","HONHGEAM_02345","JFLNLICH_00244","NFALKJBE_02138","OKCJCEOA_02159","KJPMMKDD_02362","ALJJNEKE_02232","NOKOPPJF_02169"
"yehZ","","Glycine betaine-binding protein YehZ","11","11","1","1","4416","","","","917","917","917","MLKLJMNP_01812","CPCHNOAG_02273","MMFKLIDH_02258","BLOBBDCK_02421","HONHGEAM_02338","JFLNLICH_00237","NFALKJBE_02131","OKCJCEOA_02152","KJPMMKDD_02355","ALJJNEKE_02225","NOKOPPJF_02162"
"yehX","","Glycine betaine uptake system ATP-binding protein YehX","11","11","1","1","4414","","","","926","926","926","MLKLJMNP_01814","CPCHNOAG_02271","MMFKLIDH_02256","BLOBBDCK_02419","HONHGEAM_02336","JFLNLICH_00235","NFALKJBE_02129","OKCJCEOA_02150","KJPMMKDD_02353","ALJJNEKE_02223","NOKOPPJF_02160"
"group_1694","","hypothetical protein","11","11","1","1","4412","","","","107","107","107","MLKLJMNP_01816","CPCHNOAG_02269","MMFKLIDH_02254","BLOBBDCK_02417","HONHGEAM_02334","JFLNLICH_00233","NFALKJBE_02127","OKCJCEOA_02148","KJPMMKDD_02351","ALJJNEKE_02221","NOKOPPJF_02158"
"mlrA","","HTH-type transcriptional regulator MlrA","11","11","1","1","4411","","","","644","731","723","MLKLJMNP_01817","CPCHNOAG_02268","MMFKLIDH_02253","BLOBBDCK_02416","HONHGEAM_02333","JFLNLICH_00232","NFALKJBE_02126","OKCJCEOA_02147","KJPMMKDD_02350","ALJJNEKE_02220","NOKOPPJF_02157"
"yehC","","putative fimbrial chaperone YehC","11","11","1","1","4389","","","","674","674","674","MLKLJMNP_01834","CPCHNOAG_02250","MMFKLIDH_02236","BLOBBDCK_02398","HONHGEAM_02315","JFLNLICH_00213","NFALKJBE_02109","OKCJCEOA_02129","KJPMMKDD_02333","ALJJNEKE_02203","NOKOPPJF_02139"
"yehB","","Outer membrane usher protein YehB","11","11","1","1","4388","","","","2480","2480","2480","MLKLJMNP_01835","CPCHNOAG_02249","MMFKLIDH_02235","BLOBBDCK_02397","HONHGEAM_02314","JFLNLICH_00212","NFALKJBE_02108","OKCJCEOA_02128","KJPMMKDD_02332","ALJJNEKE_02202","NOKOPPJF_02138"
"yehA","","putative fimbrial-like protein YehA","11","11","1","1","4387","","","","1034","1034","1034","MLKLJMNP_01836","CPCHNOAG_02248","MMFKLIDH_02234","BLOBBDCK_02396","HONHGEAM_02313","JFLNLICH_00211","NFALKJBE_02107","OKCJCEOA_02127","KJPMMKDD_02331","ALJJNEKE_02201","NOKOPPJF_02137"
"rcnA","","Nickel/cobalt efflux system RcnA","11","11","1","1","4385","","","","785","824","816","MLKLJMNP_01838","CPCHNOAG_02246","MMFKLIDH_02232","BLOBBDCK_02394","HONHGEAM_02311","JFLNLICH_00209","NFALKJBE_02105","OKCJCEOA_02125","KJPMMKDD_02329","ALJJNEKE_02199","NOKOPPJF_02135"
"thiM","","Hydroxyethylthiazole kinase","11","11","1","1","4382","","","","788","788","788","MLKLJMNP_01840","CPCHNOAG_02243","MMFKLIDH_02229","BLOBBDCK_02391","HONHGEAM_02308","JFLNLICH_00206","NFALKJBE_02103","OKCJCEOA_02123","KJPMMKDD_02326","ALJJNEKE_02196","NOKOPPJF_02133"
"tri1","","ADP-ribosylarginine hydrolase Tri1","11","11","1","1","4377","","","","1004","1004","1004","MLKLJMNP_01845","CPCHNOAG_02238","MMFKLIDH_02224","BLOBBDCK_02386","HONHGEAM_02303","JFLNLICH_00201","NFALKJBE_02098","OKCJCEOA_02118","KJPMMKDD_02321","ALJJNEKE_02191","NOKOPPJF_02127"
"gatZ","","D-tagatose-1,6-bisphosphate aldolase subunit GatZ","11","11","1","1","4372","","","","1262","1262","1262","MLKLJMNP_01849","CPCHNOAG_02234","MMFKLIDH_02220","BLOBBDCK_02381","HONHGEAM_02299","JFLNLICH_00197","NFALKJBE_02094","OKCJCEOA_02114","KJPMMKDD_02317","ALJJNEKE_02187","NOKOPPJF_02123"
"group_1704","","hypothetical protein","11","11","1","1","4365","","","","317","317","317","MLKLJMNP_01856","CPCHNOAG_02227","MMFKLIDH_02213","BLOBBDCK_02374","HONHGEAM_02292","JFLNLICH_00190","NFALKJBE_02087","OKCJCEOA_02107","KJPMMKDD_02310","ALJJNEKE_02180","NOKOPPJF_02116"
"baeS","","Signal transduction histidine-protein kinase BaeS","11","11","1","1","4344","","","","1403","1403","1403","MLKLJMNP_01864","CPCHNOAG_02190","MMFKLIDH_02209","BLOBBDCK_02366","HONHGEAM_02284","JFLNLICH_00186","NFALKJBE_02079","OKCJCEOA_02099","KJPMMKDD_02302","ALJJNEKE_02172","NOKOPPJF_02110"
"mdtD","","Putative multidrug resistance protein MdtD","11","11","1","1","4343","","","","1415","1415","1415","MLKLJMNP_01865","CPCHNOAG_02189","MMFKLIDH_02208","BLOBBDCK_02365","HONHGEAM_02283","JFLNLICH_00185","NFALKJBE_02078","OKCJCEOA_02098","KJPMMKDD_02301","ALJJNEKE_02171","NOKOPPJF_02109"
"mdtA","","Multidrug resistance protein MdtA","11","11","1","1","4339","","","","1247","1367","1312","MLKLJMNP_01868","CPCHNOAG_02186","MMFKLIDH_02205","BLOBBDCK_02362","HONHGEAM_02280","JFLNLICH_00182","NFALKJBE_02075","OKCJCEOA_02095","KJPMMKDD_02297","ALJJNEKE_02168","NOKOPPJF_02106"
"dgcE","","putative diguanylate cyclase DgcE","11","11","1","1","4330","","","","3317","3317","3317","MLKLJMNP_01874","CPCHNOAG_02180","MMFKLIDH_02197","BLOBBDCK_02355","HONHGEAM_02274","JFLNLICH_00175","NFALKJBE_02069","OKCJCEOA_02088","KJPMMKDD_02291","ALJJNEKE_02162","NOKOPPJF_02099"
"dapH","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","11","11","1","1","4314","","","","548","548","548","MLKLJMNP_01887","CPCHNOAG_02165","MMFKLIDH_02184","BLOBBDCK_02341","HONHGEAM_02259","JFLNLICH_00162","NFALKJBE_02056","OKCJCEOA_02075","KJPMMKDD_02275","ALJJNEKE_02147","NOKOPPJF_02086"
"hisI","","Histidine biosynthesis bifunctional protein HisIE","11","11","1","1","4273","","","","611","611","611","MLKLJMNP_01910","CPCHNOAG_02137","MMFKLIDH_02152","BLOBBDCK_02316","HONHGEAM_02233","JFLNLICH_00128","NFALKJBE_02032","OKCJCEOA_02052","KJPMMKDD_02247","ALJJNEKE_02121","NOKOPPJF_02058"
"hisD","","Histidinol dehydrogenase","11","11","1","1","2277","","","","1304","1304","1304","MLKLJMNP_01916","CPCHNOAG_02131","MMFKLIDH_02146","BLOBBDCK_02310","HONHGEAM_02227","JFLNLICH_00122","NFALKJBE_02026","OKCJCEOA_02046","KJPMMKDD_02241","ALJJNEKE_02115","NOKOPPJF_02052"
"sbcB","","Exodeoxyribonuclease I","11","11","1","1","2288","","","","1424","1427","1426","MLKLJMNP_01923","CPCHNOAG_02122","MMFKLIDH_02137","BLOBBDCK_02303","HONHGEAM_02220","JFLNLICH_00113","NFALKJBE_02019","OKCJCEOA_02039","KJPMMKDD_02234","ALJJNEKE_02108","NOKOPPJF_02043"
"dacD","","D-alanyl-D-alanine carboxypeptidase DacD","11","11","1","1","2300","","","","965","1166","1111","MLKLJMNP_01924","CPCHNOAG_02121","MMFKLIDH_02068","BLOBBDCK_02302","HONHGEAM_02219","JFLNLICH_00112","NFALKJBE_02018","OKCJCEOA_02038","KJPMMKDD_02233","ALJJNEKE_02107","NOKOPPJF_02042"
"sbmC_1","","DNA gyrase inhibitor","11","11","1","1","2301","","","","473","473","473","MLKLJMNP_01925","CPCHNOAG_02120","MMFKLIDH_02067","BLOBBDCK_02301","HONHGEAM_02218","JFLNLICH_00111","NFALKJBE_02017","OKCJCEOA_02037","KJPMMKDD_02232","ALJJNEKE_02106","NOKOPPJF_02041"
"cobS","","Adenosylcobinamide-GDP ribazoletransferase","11","11","1","1","2343","","","","743","743","743","MLKLJMNP_01951","CPCHNOAG_02088","MMFKLIDH_02023","BLOBBDCK_02253","HONHGEAM_02169","JFLNLICH_00076","NFALKJBE_01991","OKCJCEOA_02011","KJPMMKDD_02179","ALJJNEKE_02056","NOKOPPJF_02037"
"erfK","","putative L,D-transpeptidase ErfK/SrfK","11","11","1","1","2418","","","","926","935","932","MLKLJMNP_01953","CPCHNOAG_02086","MMFKLIDH_02021","BLOBBDCK_02251","HONHGEAM_02167","JFLNLICH_00074","NFALKJBE_01989","OKCJCEOA_02009","KJPMMKDD_02177","ALJJNEKE_02054","NOKOPPJF_02035"
"yeeO","","putative FMN/FAD exporter YeeO","11","11","1","1","2423","","","","1382","1454","1446","MLKLJMNP_01970","CPCHNOAG_02081","MMFKLIDH_02016","BLOBBDCK_02224","HONHGEAM_02142","JFLNLICH_00069","NFALKJBE_01958","OKCJCEOA_01978","KJPMMKDD_02147","ALJJNEKE_02025","NOKOPPJF_02030"
"yeeN","","putative transcriptional regulatory protein YeeN","11","11","1","1","2420","","","","479","716","694","MLKLJMNP_01972","CPCHNOAG_02079","MMFKLIDH_02014","BLOBBDCK_02219","HONHGEAM_02137","JFLNLICH_00067","NFALKJBE_01956","OKCJCEOA_01976","KJPMMKDD_02145","ALJJNEKE_02023","NOKOPPJF_02028"
"hchA","","Protein/nucleic acid deglycase 1","11","11","1","1","8031","","","","851","851","851","MLKLJMNP_02100","CPCHNOAG_01996","MMFKLIDH_01946","BLOBBDCK_02159","HONHGEAM_02053","JFLNLICH_04044","NFALKJBE_01928","OKCJCEOA_01948","KJPMMKDD_02114","ALJJNEKE_01995","NOKOPPJF_02003"
"group_1746","","hypothetical protein","11","11","1","1","8019","","","","95","182","150","MLKLJMNP_02108","CPCHNOAG_01987","MMFKLIDH_01938","BLOBBDCK_02151","HONHGEAM_02044","JFLNLICH_04052","NFALKJBE_01920","OKCJCEOA_01940","KJPMMKDD_02105","ALJJNEKE_01986","NOKOPPJF_01995"
"yedP","","Mannosyl-3-phosphoglycerate phosphatase","11","11","1","1","8017","","","","815","818","815","MLKLJMNP_02110","CPCHNOAG_01985","MMFKLIDH_01936","BLOBBDCK_02149","HONHGEAM_02042","JFLNLICH_04055","NFALKJBE_01918","OKCJCEOA_01938","KJPMMKDD_02103","ALJJNEKE_01984","NOKOPPJF_01993"
"fliO","","Flagellar protein FliO","11","11","1","1","8010","","","","365","365","365","MLKLJMNP_02117","CPCHNOAG_01978","MMFKLIDH_01929","BLOBBDCK_02142","HONHGEAM_02035","JFLNLICH_04062","NFALKJBE_01911","OKCJCEOA_01931","KJPMMKDD_02096","ALJJNEKE_01977","NOKOPPJF_01986"
"fliM","","Flagellar motor switch protein FliM","11","11","1","1","8008","","","","656","1004","972","MLKLJMNP_02119","CPCHNOAG_01976","MMFKLIDH_01927","BLOBBDCK_02140","HONHGEAM_02033","JFLNLICH_04064","NFALKJBE_01909","OKCJCEOA_01929","KJPMMKDD_02094","ALJJNEKE_01975","NOKOPPJF_01984"
"fliK","","Flagellar hook-length control protein","11","11","1","1","8006","","","","1127","1127","1127","MLKLJMNP_02121","CPCHNOAG_01974","MMFKLIDH_01925","BLOBBDCK_02138","HONHGEAM_02031","JFLNLICH_04066","NFALKJBE_01907","OKCJCEOA_01927","KJPMMKDD_02092","ALJJNEKE_01973","NOKOPPJF_01982"
"fliH","","Flagellar assembly protein FliH","11","11","1","1","8003","","","","686","686","686","MLKLJMNP_02124","CPCHNOAG_01971","MMFKLIDH_01922","BLOBBDCK_02135","HONHGEAM_02028","JFLNLICH_04069","NFALKJBE_01904","OKCJCEOA_01924","KJPMMKDD_02089","ALJJNEKE_01970","NOKOPPJF_01979"
"fliE","","Flagellar hook-basal body complex protein FliE","11","11","1","1","7999","","","","314","314","314","MLKLJMNP_02127","CPCHNOAG_01967","MMFKLIDH_01919","BLOBBDCK_02132","HONHGEAM_02025","JFLNLICH_04072","NFALKJBE_01901","OKCJCEOA_01921","KJPMMKDD_02086","ALJJNEKE_01967","NOKOPPJF_01976"
"group_1753","","hypothetical protein","11","11","1","1","7997","","","","551","551","551","MLKLJMNP_02129","CPCHNOAG_01965","MMFKLIDH_01917","BLOBBDCK_02130","HONHGEAM_02023","JFLNLICH_04074","NFALKJBE_01899","OKCJCEOA_01919","KJPMMKDD_02084","ALJJNEKE_01965","NOKOPPJF_01975"
"rhaS_2","","HTH-type transcriptional activator RhaS","11","11","1","1","7996","","","","797","797","797","MLKLJMNP_02130","CPCHNOAG_01964","MMFKLIDH_01916","BLOBBDCK_02129","HONHGEAM_02022","JFLNLICH_04075","NFALKJBE_01898","OKCJCEOA_01918","KJPMMKDD_02083","ALJJNEKE_01964","NOKOPPJF_01974"
"ompD_2","","Outer membrane porin protein OmpD","11","11","1","1","7995","","","","1082","1082","1082","MLKLJMNP_02131","CPCHNOAG_01963","MMFKLIDH_01915","BLOBBDCK_02128","HONHGEAM_02021","JFLNLICH_04076","NFALKJBE_01897","OKCJCEOA_01917","KJPMMKDD_02082","ALJJNEKE_01963","NOKOPPJF_00774"
"fliT","","Flagellar protein FliT","11","11","1","1","7933","","","","365","365","365","MLKLJMNP_02137","CPCHNOAG_01957","MMFKLIDH_01909","BLOBBDCK_02122","HONHGEAM_02015","JFLNLICH_04082","NFALKJBE_01890","OKCJCEOA_01910","KJPMMKDD_02076","ALJJNEKE_01957","NOKOPPJF_01966"
"fliZ","","Regulator of sigma S factor FliZ","11","11","1","1","7924","","","","551","551","551","MLKLJMNP_02142","CPCHNOAG_01952","MMFKLIDH_01904","BLOBBDCK_02117","HONHGEAM_02010","JFLNLICH_04087","NFALKJBE_01885","OKCJCEOA_01905","KJPMMKDD_02069","ALJJNEKE_01952","NOKOPPJF_01961"
"group_1758","","hypothetical protein","11","11","1","1","7913","","","","635","665","662","MLKLJMNP_02155","CPCHNOAG_01939","MMFKLIDH_01891","BLOBBDCK_02103","HONHGEAM_01997","JFLNLICH_04100","NFALKJBE_01872","OKCJCEOA_01892","KJPMMKDD_02055","ALJJNEKE_01939","NOKOPPJF_01948"
"group_1759","","hypothetical protein","11","11","1","1","7911","","","","239","239","239","MLKLJMNP_02157","CPCHNOAG_01937","MMFKLIDH_01889","BLOBBDCK_02101","HONHGEAM_01995","JFLNLICH_04102","NFALKJBE_01870","OKCJCEOA_01890","KJPMMKDD_02053","ALJJNEKE_01937","NOKOPPJF_01946"
"group_1760","","hypothetical protein","11","11","1","1","7909","","","","323","323","323","MLKLJMNP_02159","CPCHNOAG_01935","MMFKLIDH_01887","BLOBBDCK_02099","HONHGEAM_01993","JFLNLICH_04104","NFALKJBE_01868","OKCJCEOA_01888","KJPMMKDD_02051","ALJJNEKE_01935","NOKOPPJF_01944"
"flhA_2","","Flagellar biosynthesis protein FlhA","11","11","1","1","7886","","","","2036","2078","2074","MLKLJMNP_02181","CPCHNOAG_01913","MMFKLIDH_01865","BLOBBDCK_02077","HONHGEAM_01971","JFLNLICH_04126","NFALKJBE_01847","OKCJCEOA_01867","KJPMMKDD_02027","ALJJNEKE_01913","NOKOPPJF_01922"
"cutC_1","","Copper homeostasis protein CutC","11","11","1","1","7881","","","","746","746","746","MLKLJMNP_02185","CPCHNOAG_01909","MMFKLIDH_01861","BLOBBDCK_02073","HONHGEAM_01967","JFLNLICH_04130","NFALKJBE_01843","OKCJCEOA_01863","KJPMMKDD_02023","ALJJNEKE_01909","NOKOPPJF_01917"
"torY","","Cytochrome c-type protein TorY","11","11","1","1","7880","","","","1100","1100","1100","MLKLJMNP_02186","CPCHNOAG_01908","MMFKLIDH_01860","BLOBBDCK_02072","HONHGEAM_01966","JFLNLICH_04131","NFALKJBE_01842","OKCJCEOA_01862","KJPMMKDD_02022","ALJJNEKE_01908","NOKOPPJF_01916"
"torZ","","Trimethylamine-N-oxide reductase 2","11","11","1","1","7879","","","","2342","2429","2421","MLKLJMNP_02187","CPCHNOAG_01907","MMFKLIDH_01859","BLOBBDCK_02071","HONHGEAM_01965","JFLNLICH_04132","NFALKJBE_01841","OKCJCEOA_01861","KJPMMKDD_02021","ALJJNEKE_01907","NOKOPPJF_01915"
"yecD","","Isochorismatase family protein YecD","11","11","1","1","7874","","","","566","566","566","MLKLJMNP_02192","CPCHNOAG_01902","MMFKLIDH_01854","BLOBBDCK_02066","HONHGEAM_01960","JFLNLICH_04137","NFALKJBE_01836","OKCJCEOA_01856","KJPMMKDD_02016","ALJJNEKE_01902","NOKOPPJF_01910"
"nudB","","Dihydroneopterin triphosphate diphosphatase","11","11","1","1","7872","","","","443","509","449","MLKLJMNP_02194","CPCHNOAG_01900","MMFKLIDH_01852","BLOBBDCK_02064","HONHGEAM_01958","JFLNLICH_04139","NFALKJBE_01834","OKCJCEOA_01854","KJPMMKDD_02014","ALJJNEKE_01900","NOKOPPJF_01908"
"lpxM","","Lipid A biosynthesis myristoyltransferase","11","11","1","1","7861","","","","971","995","973","MLKLJMNP_02204","CPCHNOAG_01890","MMFKLIDH_01842","BLOBBDCK_02054","HONHGEAM_01948","JFLNLICH_04149","NFALKJBE_01824","OKCJCEOA_01844","KJPMMKDD_02002","ALJJNEKE_01890","NOKOPPJF_01898"
"yebF","","Protein YebF","11","11","1","1","7852","","","","356","392","359","MLKLJMNP_02213","CPCHNOAG_01881","MMFKLIDH_01833","BLOBBDCK_02044","HONHGEAM_01939","JFLNLICH_04157","NFALKJBE_01815","OKCJCEOA_01835","KJPMMKDD_01991","ALJJNEKE_01881","NOKOPPJF_01890"
"exoX","","Exodeoxyribonuclease 10","11","11","1","1","7846","","","","554","662","652","MLKLJMNP_02217","CPCHNOAG_01878","MMFKLIDH_01830","BLOBBDCK_02040","HONHGEAM_01935","JFLNLICH_04160","NFALKJBE_01812","OKCJCEOA_01832","KJPMMKDD_01986","ALJJNEKE_01878","NOKOPPJF_01885"
"yebZ","","Inner membrane protein YebZ","11","11","1","1","7841","","","","872","872","872","MLKLJMNP_02221","CPCHNOAG_01873","MMFKLIDH_01826","BLOBBDCK_02036","HONHGEAM_01931","JFLNLICH_04164","NFALKJBE_01808","OKCJCEOA_01828","KJPMMKDD_01982","ALJJNEKE_01874","NOKOPPJF_01881"
"rlmA","","23S rRNA (guanine(745)-N(1))-methyltransferase","11","11","1","1","7823","","","","809","809","809","MLKLJMNP_02238","CPCHNOAG_01856","MMFKLIDH_01809","BLOBBDCK_02019","HONHGEAM_01914","JFLNLICH_04181","NFALKJBE_01790","OKCJCEOA_01810","KJPMMKDD_01963","ALJJNEKE_01857","NOKOPPJF_01864"
"mntP","","putative manganese efflux pump MntP","11","11","1","1","7822","","","","434","566","554","MLKLJMNP_02239","CPCHNOAG_01855","MMFKLIDH_01808","BLOBBDCK_02018","HONHGEAM_01913","JFLNLICH_04182","NFALKJBE_01789","OKCJCEOA_01809","KJPMMKDD_01962","ALJJNEKE_01856","NOKOPPJF_01863"
"pabB","","Aminodeoxychorismate synthase component 1","11","11","1","1","7813","","","","1361","1361","1361","MLKLJMNP_02248","CPCHNOAG_01846","MMFKLIDH_01799","BLOBBDCK_02009","HONHGEAM_01904","JFLNLICH_04191","NFALKJBE_01780","OKCJCEOA_01800","KJPMMKDD_01953","ALJJNEKE_01847","NOKOPPJF_01853"
"group_1776","","hypothetical protein","11","11","1","1","7795","","","","272","347","340","MLKLJMNP_02263","CPCHNOAG_01831","MMFKLIDH_01784","BLOBBDCK_01994","HONHGEAM_01889","JFLNLICH_04206","NFALKJBE_01765","OKCJCEOA_01785","KJPMMKDD_01938","ALJJNEKE_01832","NOKOPPJF_01833"
"pncA","","Nicotinamidase","11","11","1","1","7739","","","","623","641","639","MLKLJMNP_02286","CPCHNOAG_01807","MMFKLIDH_01761","BLOBBDCK_01971","HONHGEAM_01866","JFLNLICH_04229","NFALKJBE_01742","OKCJCEOA_01762","KJPMMKDD_01857","ALJJNEKE_01809","NOKOPPJF_01818"
"ansA","","L-asparaginase 1","11","11","1","1","7738","","","","968","1016","1007","MLKLJMNP_02287","CPCHNOAG_01806","MMFKLIDH_01760","BLOBBDCK_01970","HONHGEAM_01865","JFLNLICH_04230","NFALKJBE_01741","OKCJCEOA_01761","KJPMMKDD_01856","ALJJNEKE_01808","NOKOPPJF_01817"
"selD","","Selenide, water dikinase","11","11","1","1","7735","","","","851","1043","1025","MLKLJMNP_02290","CPCHNOAG_01803","MMFKLIDH_01757","BLOBBDCK_01967","HONHGEAM_01862","JFLNLICH_04233","NFALKJBE_01738","OKCJCEOA_01758","KJPMMKDD_01853","ALJJNEKE_01805","NOKOPPJF_01814"
"ynjF","","Inner membrane protein YnjF","11","11","1","1","7730","","","","620","620","620","MLKLJMNP_02295","CPCHNOAG_01798","MMFKLIDH_01752","BLOBBDCK_01959","HONHGEAM_01857","JFLNLICH_04238","NFALKJBE_01733","OKCJCEOA_01753","KJPMMKDD_01848","ALJJNEKE_01800","NOKOPPJF_01807"
"astC","","Succinylornithine transaminase","11","11","1","1","7718","","","","1220","1220","1220","MLKLJMNP_02305","CPCHNOAG_01788","MMFKLIDH_01742","BLOBBDCK_01949","HONHGEAM_01847","JFLNLICH_04248","NFALKJBE_01723","OKCJCEOA_01743","KJPMMKDD_01836","ALJJNEKE_01790","NOKOPPJF_01797"
"astA","","Arginine N-succinyltransferase","11","11","1","1","7717","","","","947","1034","1026","MLKLJMNP_02306","CPCHNOAG_01787","MMFKLIDH_01741","BLOBBDCK_01948","HONHGEAM_01846","JFLNLICH_04249","NFALKJBE_01722","OKCJCEOA_01742","KJPMMKDD_01835","ALJJNEKE_01789","NOKOPPJF_01796"
"ves","","Protein Ves","11","11","1","1","7711","","","","575","575","575","MLKLJMNP_02311","CPCHNOAG_01781","MMFKLIDH_01736","BLOBBDCK_01943","HONHGEAM_01841","JFLNLICH_04255","NFALKJBE_01717","OKCJCEOA_01737","KJPMMKDD_01830","ALJJNEKE_01784","NOKOPPJF_01791"
"cho","","Excinuclease cho","11","11","1","1","7710","","","","887","887","887","MLKLJMNP_02312","CPCHNOAG_01780","MMFKLIDH_01735","BLOBBDCK_01942","HONHGEAM_01840","JFLNLICH_04256","NFALKJBE_01716","OKCJCEOA_01736","KJPMMKDD_01829","ALJJNEKE_01783","NOKOPPJF_01790"
"cedA","","Cell division activator CedA","11","11","1","1","3274","","","","263","263","263","MLKLJMNP_02322","CPCHNOAG_01770","MMFKLIDH_01725","BLOBBDCK_01932","HONHGEAM_01830","JFLNLICH_04268","NFALKJBE_01706","OKCJCEOA_01726","KJPMMKDD_01819","ALJJNEKE_01773","NOKOPPJF_01780"
"group_1787","","hypothetical protein","11","11","1","1","3281","","","","125","290","275","MLKLJMNP_02328","CPCHNOAG_01764","MMFKLIDH_01719","BLOBBDCK_01926","HONHGEAM_01824","JFLNLICH_04274","NFALKJBE_01700","OKCJCEOA_01720","KJPMMKDD_01812","ALJJNEKE_01767","NOKOPPJF_01773"
"yniD","","putative protein YniD","11","11","1","1","8383","","","","107","107","107","MLKLJMNP_02331","CPCHNOAG_01761","MMFKLIDH_01716","BLOBBDCK_01923","HONHGEAM_01821","JFLNLICH_04277","NFALKJBE_01697","OKCJCEOA_01717","KJPMMKDD_01809","ALJJNEKE_01764","NOKOPPJF_01770"
